Province,District,Year,Commodity,Soil_pH,Soil_N_index,Soil_P_index,Soil_K_index,Area_Ha,Target_Yield_KgHa,Pupuk_Urea_kgHa,Pupuk_SP36_kgHa,Pupuk_KCl_kgHa
Papua,Keerom,2023,Tebu,4.8,4,2,4,52.08,87203.1,245.4,141.3,89.7
Kalimantan Timur,Balikpapan,2020,Cabai Rawit,5.61,3,3,3,8.75,8327.5,257.1,112.5,83.1
Sulawesi Tengah,Donggala,2025,Jagung,5.52,2,4,2,21.27,6587.3,271.4,145.3,84.9
Lampung,Lampung Timur,2021,Padi,5.22,3,2,2,23.18,5978.5,217.4,122.4,65.0
Kalimantan Barat,Landak,2025,Tebu,4.72,3,2,2,55.39,69335.5,211.1,120.1,96.7
Papua,Mamberamo Raya,2021,Padi,4.81,3,3,3,12.25,7351.7,240.8,126.8,74.1
Sumatera Selatan,Palembang,2023,Jagung,5.29,4,2,4,28.71,5910.8,260.1,99.1,83.3
Kalimantan Selatan,Banjarbaru,2018,Tebu,5.82,2,2,1,33.02,53044.5,237.3,122.0,83.1
Kalimantan Timur,Kutai Kartanegara,2021,Cabai Rawit,4.3,3,2,4,5.12,9544.8,233.5,125.5,82.7
Riau,Rokan Hulu,2022,Jagung,5.2,4,3,1,13.77,7239.4,250.6,117.0,71.8
Banten,Tangerang Selatan,2020,Tebu,6.68,3,3,3,29.17,70363.1,288.9,118.0,53.7
Sumatera Selatan,Ogan Komering Ulu,2018,Padi,4.89,2,2,2,19.9,6102.3,246.4,115.2,62.8
Maluku,Seram Bagian Barat,2019,Jagung,4.33,1,1,3,19.61,7380.2,253.4,105.0,73.0
Riau,Rokan Hulu,2021,Cabai Rawit,5.87,2,3,1,2.82,5588.5,239.5,130.6,92.6
Jawa Tengah,Kebumen,2024,Bawang Merah,5.94,1,3,3,3.9,9861.6,230.6,91.4,50.0
Sumatera Utara,Medan,2024,Padi,7.26,2,2,2,7.53,6278.6,221.0,116.8,73.6
Banten,Pandeglang,2021,Padi,5.77,3,3,2,23.95,5770.5,240.6,134.5,80.6
Lampung,Lampung Timur,2019,Jagung,4.87,2,1,3,12.53,5051.2,273.1,128.5,82.7
Banten,Cilegon,2018,Tebu,6.35,3,2,3,35.83,52762.8,256.9,114.8,93.8
Jawa Barat,Garut,2024,Bawang Merah,5.55,4,3,4,4.84,12180.1,290.9,128.8,77.7
Kepulauan Riau,Batam,2023,Padi,5.32,2,2,3,10.26,6402.2,269.0,116.3,90.5
Nusa Tenggara Barat,Mataram,2018,Bawang Merah,6.25,2,3,4,1.74,11156.6,246.4,147.1,74.2
Lampung,Pringsewu,2021,Cabai Rawit,4.94,4,3,2,7.31,10477.6,237.4,111.3,70.5
Bangka Belitung,Belitung,2021,Cabai Rawit,5.48,1,2,3,8.16,7899.7,247.3,122.0,75.0
Sulawesi Selatan,Wajo,2024,Bawang Merah,6.17,2,2,3,10.38,9979.3,256.4,116.7,80.6
Riau,Rokan Hulu,2018,Cabai Rawit,5.1,3,3,3,4.6,6295.6,261.2,130.8,66.9
Bengkulu,Mukomuko,2025,Bawang Merah,5.78,3,1,2,2.46,12576.0,254.3,93.7,82.8
Aceh,Pidie,2025,Tebu,6.66,2,2,3,94.78,51819.4,244.9,137.3,92.9
Aceh,Pidie,2023,Padi,4.2,2,4,2,10.98,5971.5,249.5,106.8,81.7
Nusa Tenggara Barat,Lombok Tengah,2023,Padi,6.21,3,2,1,13.21,6421.7,240.5,149.1,90.7
Papua,Jayapura,2021,Bawang Merah,5.09,1,3,2,8.41,9580.6,256.6,107.6,87.0
Sumatera Barat,Pesisir Selatan,2021,Padi,5.23,2,4,4,23.56,6847.3,238.8,119.5,68.4
Jawa Timur,Bojonegoro,2022,Jagung,5.75,3,2,2,16.48,5170.4,219.8,110.8,69.8
Aceh,Aceh Besar,2024,Padi,4.96,2,3,3,15.25,5349.1,257.2,101.6,65.5
Sumatera Selatan,Ogan Komering Ulu,2022,Tebu,5.13,3,2,3,33.22,89689.5,253.6,107.1,72.9
Bali,Tabanan,2022,Padi,6.02,5,2,1,69.02,4613.6,233.1,121.9,63.9
Papua Tengah,Dogiyai,2022,Tebu,6.38,3,3,3,30.52,84575.8,238.4,108.6,96.5
Bengkulu,Mukomuko,2019,Jagung,5.34,4,2,2,12.52,7513.6,254.4,105.4,97.3
Jawa Barat,Bandung,2023,Tebu,5.48,3,1,3,8.25,57340.7,253.6,115.1,95.1
Papua Selatan,Merauke,2023,Cabai Rawit,5.37,3,2,5,3.91,10512.5,240.7,123.5,81.9
Papua,Keerom,2022,Tebu,6.81,2,3,3,25.25,67554.9,240.2,125.7,83.1
Papua Barat Daya,Sorong Selatan,2021,Padi,4.88,3,4,2,37.02,7210.1,250.8,99.4,83.9
Bangka Belitung,Bangka Selatan,2025,Cabai Rawit,5.67,3,3,4,6.75,11262.4,280.9,118.0,79.5
Maluku Utara,Kep. Sula,2020,Cabai Rawit,5.4,4,2,1,8.43,8631.9,252.4,105.1,89.1
Kepulauan Riau,Karimun,2018,Jagung,5.6,2,1,3,7.54,8067.3,218.0,111.7,61.0
Aceh,Lhokseumawe,2020,Padi,6.11,3,4,3,23.89,5369.4,233.6,121.5,79.2
Sulawesi Selatan,Maros,2025,Cabai Rawit,6.18,5,5,1,2.11,7936.9,237.8,123.5,83.6
Jawa Timur,Jember,2022,Bawang Merah,6.03,3,1,2,4.05,11702.5,250.1,132.4,83.4
Jawa Tengah,Tegal,2018,Cabai Rawit,5.77,4,1,3,5.07,8612.8,266.0,100.7,69.7
Gorontalo,Gorontalo Utara,2019,Cabai Rawit,5.68,1,3,2,5.18,9450.7,267.9,97.5,68.4
Maluku,Seram Bagian Barat,2020,Bawang Merah,4.32,2,4,1,2.96,8078.6,221.6,101.6,94.1
Kalimantan Tengah,Kotawaringin Timur,2021,Padi,4.29,4,2,2,38.03,4787.0,239.1,106.9,79.6
Maluku Utara,Halmahera Selatan,2021,Cabai Rawit,5.29,2,2,3,5.81,9351.3,231.2,134.0,97.1
Gorontalo,Pohuwato,2022,Jagung,5.46,1,3,3,8.52,7191.1,269.4,99.5,80.2
Sulawesi Tengah,Morowali,2025,Bawang Merah,5.25,3,2,2,3.33,8140.5,260.6,114.5,81.1
Papua Barat Daya,Sorong,2019,Cabai Rawit,5.23,2,3,1,3.13,9689.7,193.5,127.7,77.9
Nusa Tenggara Barat,Dompu,2023,Tebu,6.54,2,3,2,14.28,85443.3,255.9,118.2,90.4
Kalimantan Tengah,Kotawaringin Barat,2024,Cabai Rawit,4.2,5,3,3,9.43,7985.2,234.8,136.3,90.5
Papua Barat Daya,Maybrat,2022,Tebu,6.22,3,2,1,97.7,65477.3,281.2,118.1,79.9
Papua,Mamberamo Raya,2023,Padi,5.18,3,4,3,7.39,5217.5,244.2,126.1,88.7
Bali,Bangli,2020,Jagung,5.72,2,4,1,12.04,4182.8,276.1,114.2,72.8
Sulawesi Utara,Bolaang Mongondow,2023,Cabai Rawit,6.34,3,2,1,3.08,9604.3,263.8,105.1,53.2
Riau,Siak,2025,Jagung,5.27,2,3,1,16.3,3751.3,242.2,117.7,78.7
Nusa Tenggara Barat,Lombok Barat,2020,Padi,5.85,1,2,1,25.53,5572.2,223.0,122.2,84.9
Gorontalo,Gorontalo Utara,2024,Jagung,6.28,3,2,3,28.13,5685.2,226.2,132.9,85.2
Papua Selatan,Asmat,2018,Padi,4.2,1,2,4,18.34,6785.4,254.0,122.7,106.7
Jawa Tengah,Kebumen,2018,Bawang Merah,6.14,4,3,1,3.86,13826.6,277.3,100.4,71.6
Papua Barat Daya,Sorong Selatan,2025,Bawang Merah,5.62,3,3,2,2.23,9495.0,247.8,93.2,83.7
Nusa Tenggara Timur,Lembata,2023,Tebu,6.28,2,2,3,36.43,56734.6,250.3,115.6,81.2
Kalimantan Barat,Sanggau,2022,Jagung,5.05,3,3,2,16.54,7720.4,252.8,103.1,92.0
Gorontalo,Bone Bolango,2022,Tebu,5.74,1,3,4,35.1,71364.9,249.3,132.0,66.1
Kalimantan Timur,Samarinda,2018,Cabai Rawit,4.81,2,2,4,5.07,8892.0,240.7,118.2,79.7
Kalimantan Selatan,Barito Kuala,2020,Jagung,4.9,1,3,2,14.26,8583.3,237.5,105.0,84.1
Sulawesi Selatan,Bantaeng,2020,Tebu,6.15,2,3,1,37.49,96637.0,272.8,144.5,81.1
Maluku,Seram Bagian Timur,2018,Bawang Merah,5.73,1,2,2,2.69,11854.6,241.8,96.7,80.4
Bengkulu,Lebong,2025,Tebu,6.18,1,1,1,11.91,52322.7,286.7,110.4,69.9
Gorontalo,Bone Bolango,2019,Tebu,5.82,2,1,2,64.61,75656.6,275.1,129.4,90.7
Sumatera Utara,Langkat,2022,Jagung,6.14,3,4,2,21.55,5117.7,259.5,113.6,79.9
Kalimantan Barat,Pontianak,2025,Cabai Rawit,4.87,3,2,1,4.62,10193.9,251.6,116.7,89.8
Papua Barat,Teluk Wondama,2018,Padi,6.1,2,4,2,15.4,4604.6,263.2,129.7,70.7
Sulawesi Tengah,Poso,2022,Tebu,5.45,2,4,1,38.58,76500.0,240.9,122.6,73.0
Sumatera Selatan,Banyuasin,2024,Bawang Merah,5.77,2,2,3,4.86,12724.4,277.8,120.6,67.3
Kalimantan Timur,Paser,2025,Cabai Rawit,5.74,1,3,3,1.46,7700.3,269.9,124.6,52.5
Jawa Timur,Surabaya,2019,Jagung,5.6,2,2,2,27.02,3979.6,270.1,130.6,83.3
Banten,Cilegon,2021,Cabai Rawit,5.61,3,3,4,3.42,8818.3,233.5,114.6,77.9
Papua,Jayapura,2019,Cabai Rawit,5.02,3,3,3,5.84,11115.3,193.2,119.3,81.7
Kalimantan Timur,Kutai Kartanegara,2021,Jagung,5.09,2,1,3,6.77,3467.1,265.4,123.3,94.6
Bangka Belitung,Bangka,2023,Bawang Merah,5.9,2,1,1,3.8,11079.4,278.4,107.5,89.7
Jawa Barat,Indramayu,2023,Cabai Rawit,4.78,3,2,4,5.7,6100.6,263.8,107.6,84.6
Jawa Tengah,Grobogan,2024,Tebu,5.69,4,2,2,28.34,86252.9,232.2,99.1,71.6
Kepulauan Riau,Batam,2019,Jagung,5.23,2,3,1,25.48,6890.4,250.7,106.4,90.6
Jawa Tengah,Boyolali,2019,Jagung,6.17,1,1,2,17.1,4692.4,245.4,125.6,105.1
Kalimantan Tengah,Pulang Pisau,2023,Cabai Rawit,4.88,4,1,3,2.99,9015.4,258.3,101.1,71.2
Papua Barat Daya,Sorong Selatan,2019,Padi,5.0,3,2,1,19.53,5240.1,271.9,139.7,86.3
Bali,Karangasem,2023,Padi,4.67,1,4,4,7.43,7254.7,224.2,107.5,63.6
Riau,Kampar,2020,Tebu,5.57,3,1,1,93.96,96657.0,255.2,110.0,78.4
Sumatera Selatan,Banyuasin,2020,Bawang Merah,5.54,2,1,3,2.31,13505.6,234.3,120.5,79.9
Sulawesi Tengah,Parigi Moutong,2022,Tebu,4.94,4,1,2,20.64,80223.7,206.1,122.0,71.4
Sulawesi Utara,Bitung,2021,Bawang Merah,6.31,3,2,2,3.73,12341.5,240.2,125.1,75.6
Maluku Utara,Halmahera Barat,2020,Jagung,5.73,3,3,4,38.95,5681.1,308.8,105.1,65.8
Jawa Barat,Subang,2022,Tebu,6.89,1,2,1,53.41,78660.8,258.4,108.5,72.5
Jambi,Tanjung Jabung Timur,2019,Bawang Merah,4.88,2,1,5,4.57,13702.1,257.5,135.5,74.7
Kalimantan Selatan,Barito Kuala,2019,Tebu,5.05,4,3,3,25.03,79715.0,231.5,113.0,72.4
Gorontalo,Pohuwato,2025,Padi,6.88,3,3,3,10.97,7044.4,288.6,118.8,72.8
Papua Pegunungan,Lanny Jaya,2025,Padi,5.51,3,2,2,24.19,5047.7,269.6,123.5,85.7
DI Yogyakarta,Kulon Progo,2025,Cabai Rawit,5.33,1,4,1,1.35,9549.9,237.3,108.3,83.9
Banten,Tangerang,2020,Bawang Merah,6.3,2,2,3,8.47,11193.4,230.5,92.6,61.7
Papua Tengah,Nabire,2020,Tebu,4.86,3,2,2,34.93,73612.1,266.3,123.6,72.0
Nusa Tenggara Barat,Dompu,2025,Padi,6.81,4,2,4,8.91,6185.6,252.4,125.2,70.7
Sulawesi Selatan,Makassar,2019,Tebu,5.48,3,2,3,7.03,95404.6,263.7,107.6,92.5
Papua Pegunungan,Yalimo,2018,Padi,5.72,3,1,3,14.19,4948.0,277.7,119.3,70.3
Riau,Kampar,2022,Cabai Rawit,5.86,3,2,1,4.37,9456.2,233.3,97.0,71.8
Kalimantan Timur,Berau,2025,Cabai Rawit,4.52,2,4,1,3.87,8448.1,212.1,101.3,73.6
Jambi,Tanjung Jabung Barat,2023,Cabai Rawit,5.5,2,3,2,9.59,7709.6,210.9,119.7,77.2
Papua Tengah,Nabire,2018,Cabai Rawit,5.04,4,3,3,2.15,7177.1,251.9,123.2,95.3
Kalimantan Selatan,Banjarmasin,2019,Cabai Rawit,4.96,3,1,3,6.07,8656.4,237.4,126.1,70.2
Sumatera Selatan,Ogan Komering Ulu,2018,Tebu,5.98,2,2,1,7.57,88971.5,228.7,145.9,85.9
Papua Barat Daya,Sorong Selatan,2021,Bawang Merah,5.81,1,5,1,6.47,10747.5,276.4,141.1,65.1
Sulawesi Utara,Tomohon,2024,Jagung,5.72,4,3,4,17.24,7721.9,257.8,111.5,71.1
Maluku Utara,Tidore,2020,Cabai Rawit,4.99,2,3,2,1.73,8670.4,255.8,129.7,91.6
Kalimantan Utara,Tarakan,2025,Tebu,4.88,4,3,1,21.3,84106.0,258.5,108.4,76.7
Kepulauan Riau,Tanjung Pinang,2024,Padi,6.33,3,2,3,51.08,7213.6,227.0,134.1,78.8
Papua,Keerom,2021,Jagung,4.99,3,3,2,27.08,6642.1,266.3,103.6,78.5
Sumatera Barat,Padang,2022,Tebu,5.17,3,2,3,99.15,75963.1,248.3,106.4,89.2
Sulawesi Barat,Mamuju,2019,Tebu,4.2,3,1,3,23.01,76850.7,252.2,113.2,88.5
Kepulauan Riau,Bintan,2019,Tebu,5.98,4,2,2,51.83,68685.8,214.7,113.6,71.6
Kalimantan Timur,Kutai Timur,2025,Cabai Rawit,6.23,3,2,4,4.2,10501.6,229.9,120.9,81.8
Kalimantan Tengah,Kotawaringin Timur,2024,Cabai Rawit,5.04,4,2,3,2.16,10216.0,253.3,122.6,74.7
Papua Pegunungan,Jayawijaya,2023,Cabai Rawit,4.86,2,2,1,3.55,8428.5,275.9,110.3,80.9
Papua Barat,Kaimana,2019,Bawang Merah,4.72,1,1,3,1.97,8065.3,283.5,121.8,62.5
Nusa Tenggara Timur,Lembata,2024,Cabai Rawit,5.93,1,3,1,3.03,7674.9,231.3,118.3,94.1
Kalimantan Barat,Mempawah,2018,Cabai Rawit,6.1,1,3,3,1.51,9670.6,257.0,115.3,71.3
Kepulauan Riau,Bintan,2020,Jagung,4.42,2,3,3,32.84,4394.1,233.7,107.5,76.4
Bangka Belitung,Belitung Timur,2022,Cabai Rawit,6.29,2,3,3,8.32,11881.3,263.5,113.0,68.9
Papua Pegunungan,Yalimo,2024,Cabai Rawit,4.53,2,3,4,3.99,10617.1,219.4,128.4,82.6
Kalimantan Selatan,Barito Kuala,2025,Jagung,5.17,2,1,1,10.51,7157.2,264.3,138.0,95.3
Banten,Tangerang,2023,Cabai Rawit,5.97,1,2,3,3.16,8193.5,264.5,120.0,73.1
Maluku Utara,Halmahera Barat,2025,Tebu,4.63,2,1,3,63.91,49263.7,247.2,112.6,58.3
Jambi,Muaro Jambi,2021,Cabai Rawit,4.78,2,1,2,6.0,7774.0,252.9,120.6,58.3
Papua Pegunungan,Yalimo,2018,Padi,6.08,3,2,2,9.2,6296.3,265.6,110.5,89.3
Kalimantan Timur,Paser,2019,Cabai Rawit,4.2,2,3,4,1.79,11597.0,258.9,100.6,72.8
Nusa Tenggara Timur,Alor,2025,Bawang Merah,6.06,4,4,1,2.83,9008.7,236.0,119.7,95.9
Jawa Timur,Bojonegoro,2021,Tebu,5.7,1,3,3,25.49,56279.5,240.0,117.3,82.8
Kalimantan Utara,Bulungan,2024,Bawang Merah,5.18,2,2,2,9.95,11914.6,245.7,117.2,74.0
Papua Barat Daya,Maybrat,2020,Jagung,4.54,3,2,3,6.37,6302.6,244.7,140.2,89.9
Jawa Barat,Subang,2025,Jagung,5.47,4,1,2,34.44,7437.7,263.7,112.3,79.6
Kepulauan Riau,Lingga,2025,Tebu,5.0,1,3,3,115.25,61806.6,212.3,99.5,84.9
Papua Barat,Kaimana,2025,Tebu,5.21,2,4,2,24.85,55290.1,260.2,122.6,79.6
Jambi,Sarolangun,2024,Padi,5.17,1,4,4,26.66,6853.9,250.5,111.8,72.1
Kalimantan Utara,Tana Tidung,2021,Cabai Rawit,6.34,3,3,2,3.23,7380.8,240.5,131.4,82.0
Bali,Buleleng,2023,Tebu,4.87,2,3,2,36.59,94961.2,268.0,120.6,68.0
Sulawesi Barat,Mamuju,2022,Bawang Merah,6.68,3,2,1,4.08,11719.1,251.0,133.8,71.6
Kalimantan Selatan,Hulu Sungai Selatan,2025,Cabai Rawit,5.65,4,3,1,8.01,10967.3,263.3,102.2,75.4
Kalimantan Selatan,Banjarmasin,2022,Bawang Merah,5.85,4,2,2,1.83,13069.5,256.0,125.5,75.0
Sumatera Barat,Tanah Datar,2023,Padi,5.47,3,2,3,7.37,4491.8,237.5,126.6,84.6
Sumatera Utara,Serdang Bedagai,2020,Bawang Merah,4.2,4,3,4,3.78,11796.0,258.1,89.0,94.8
Aceh,Pidie,2021,Bawang Merah,5.08,4,3,4,5.23,9518.9,224.6,127.7,65.9
Gorontalo,Pohuwato,2018,Padi,6.49,3,3,3,16.29,6463.7,277.3,128.7,71.3
Nusa Tenggara Barat,Lombok Barat,2022,Padi,6.34,2,2,3,22.91,4325.8,273.2,129.4,77.3
Nusa Tenggara Barat,Lombok Timur,2020,Padi,6.39,5,1,4,31.43,7030.9,255.0,122.8,83.0
Jawa Tengah,Pati,2023,Jagung,5.79,4,3,3,13.65,4856.3,269.0,117.5,73.9
Sumatera Barat,Pesisir Selatan,2023,Padi,4.6,2,4,4,6.75,6124.7,240.9,95.2,86.5
Sumatera Barat,Solok,2021,Jagung,5.62,4,2,2,42.55,6078.3,210.1,103.1,86.3
Bangka Belitung,Bangka Tengah,2021,Jagung,4.91,2,3,2,18.35,4362.1,264.7,121.3,91.5
Gorontalo,Pohuwato,2025,Jagung,4.76,2,2,1,13.18,5929.9,240.5,140.9,86.8
Gorontalo,Bone Bolango,2020,Tebu,6.33,3,3,2,48.03,52040.2,233.8,106.6,74.5
Maluku,Seram Bagian Barat,2018,Jagung,5.72,4,2,4,9.06,5801.6,240.1,124.0,77.0
Bali,Gianyar,2023,Cabai Rawit,6.91,3,2,4,7.75,9591.0,214.3,111.0,64.6
Kalimantan Barat,Sanggau,2022,Bawang Merah,4.96,3,1,2,5.79,10653.9,256.8,149.5,67.1
Papua Tengah,Nabire,2020,Cabai Rawit,4.34,3,2,3,2.61,8742.5,287.5,115.1,101.6
Papua Tengah,Paniai,2020,Padi,6.25,3,2,1,9.61,7034.6,286.5,114.1,84.0
Papua Barat,Teluk Bintuni,2025,Padi,5.59,3,1,4,11.57,5773.9,269.0,100.4,89.4
Jawa Timur,Malang,2021,Padi,5.25,2,3,3,23.24,6212.0,245.1,119.0,79.2
Papua Barat,Kaimana,2020,Padi,5.38,2,5,2,19.7,6265.6,235.3,102.1,75.2
Aceh,Bener Meriah,2019,Jagung,5.41,2,3,2,7.63,7369.1,250.8,134.7,63.7
Bangka Belitung,Pangkal Pinang,2024,Bawang Merah,6.8,2,4,2,1.84,11192.5,225.1,153.1,87.5
Papua Pegunungan,Nduga,2021,Jagung,5.59,3,2,2,48.27,4533.9,238.7,122.4,79.7
Nusa Tenggara Barat,Mataram,2023,Jagung,6.53,2,1,1,24.21,7808.1,227.3,123.0,76.7
DKI Jakarta,Jakarta Barat,2024,Tebu,4.94,1,3,2,16.44,58002.2,243.2,113.5,77.8
Sulawesi Tenggara,Baubau,2022,Cabai Rawit,6.47,3,2,3,2.3,9130.8,230.9,109.6,87.5
Kalimantan Tengah,Pulang Pisau,2019,Cabai Rawit,5.29,2,3,2,2.49,10730.7,238.4,118.3,53.0
Papua Selatan,Merauke,2020,Bawang Merah,6.01,3,3,3,1.8,13018.9,222.4,115.2,86.1
Maluku,Ambon,2024,Jagung,6.22,4,2,2,12.2,5758.6,223.3,125.2,95.3
Kalimantan Utara,Malinau,2023,Padi,4.5,1,2,1,5.2,6179.3,231.2,143.6,74.4
Kalimantan Timur,Paser,2022,Cabai Rawit,5.16,3,4,2,2.36,6633.9,224.7,107.1,86.4
DI Yogyakarta,Bantul,2023,Jagung,4.68,3,2,3,15.72,3835.9,244.9,115.6,67.3
Bali,Klungkung,2024,Bawang Merah,5.87,4,4,2,4.92,12266.0,198.6,113.7,79.0
Riau,Rokan Hulu,2023,Cabai Rawit,6.42,2,2,2,1.62,8330.6,259.7,108.6,77.1
Sulawesi Selatan,Makassar,2022,Bawang Merah,6.0,3,3,2,1.38,11152.1,228.3,106.2,72.7
Sumatera Utara,Serdang Bedagai,2021,Tebu,5.35,3,1,1,32.14,96202.2,242.0,122.8,81.1
Gorontalo,Boalemo,2025,Cabai Rawit,5.85,4,2,3,1.68,8959.9,278.8,143.3,63.9
Sumatera Utara,Medan,2024,Bawang Merah,5.22,2,3,4,1.74,8962.3,264.1,93.9,80.6
Kalimantan Utara,Tarakan,2019,Jagung,5.51,1,2,3,22.98,8008.2,281.9,126.7,91.0
Sumatera Utara,Serdang Bedagai,2019,Cabai Rawit,5.79,4,3,2,5.2,9535.6,285.6,112.4,71.4
Sulawesi Tenggara,Buton,2025,Cabai Rawit,6.15,2,4,2,16.0,11123.5,261.5,105.2,85.4
Jawa Tengah,Pati,2019,Jagung,5.95,4,3,1,25.2,8984.6,246.4,112.3,90.5
Nusa Tenggara Barat,Lombok Tengah,2024,Jagung,6.37,2,4,4,16.49,7399.9,249.9,96.5,78.5
Sumatera Utara,Langkat,2024,Jagung,4.47,3,2,1,18.04,4661.4,244.4,130.5,56.3
Sumatera Utara,Langkat,2025,Jagung,6.81,2,3,3,28.6,5351.9,267.6,118.8,75.8
Kalimantan Selatan,Barito Kuala,2022,Padi,4.43,3,4,4,34.64,5418.5,215.5,116.7,86.8
Sulawesi Barat,Polewali Mandar,2025,Cabai Rawit,5.27,2,2,4,4.6,11223.4,257.6,121.1,78.6
Sulawesi Tenggara,Kendari,2021,Bawang Merah,6.35,1,3,4,4.1,12540.8,240.1,139.1,68.9
Sumatera Selatan,Ogan Komering Ilir,2021,Tebu,4.2,2,3,2,73.31,70903.4,247.9,129.6,95.8
Sumatera Barat,Pasaman,2018,Padi,4.75,2,2,2,24.79,5800.6,246.1,122.9,88.1
Papua Barat,Fakfak,2024,Bawang Merah,5.51,3,2,4,13.51,10259.6,239.5,117.1,78.9
Papua Selatan,Asmat,2025,Padi,5.31,3,4,1,23.34,4336.8,258.6,113.9,89.5
Lampung,Lampung Selatan,2022,Cabai Rawit,6.46,2,1,1,9.97,5947.3,259.6,125.3,85.6
Kalimantan Selatan,Banjarbaru,2025,Cabai Rawit,5.75,2,1,2,2.55,9307.7,241.2,107.0,77.8
Nusa Tenggara Barat,Mataram,2019,Tebu,5.93,3,2,1,43.91,97460.5,271.5,120.1,86.1
Maluku Utara,Halmahera Selatan,2022,Padi,5.28,1,3,3,12.59,4672.3,241.1,111.1,82.8
Papua Barat,Kaimana,2024,Padi,4.64,2,2,2,26.42,5177.0,270.8,100.7,74.7
Nusa Tenggara Timur,Kupang,2024,Padi,6.06,2,1,1,13.49,5289.3,243.0,129.5,85.9
Sumatera Barat,Solok,2023,Tebu,5.54,3,1,3,47.41,62345.2,261.3,125.9,60.7
Sumatera Utara,Deli Serdang,2022,Padi,4.79,1,4,3,37.12,6040.0,250.0,91.3,66.5
Papua Pegunungan,Wamena,2024,Cabai Rawit,5.73,2,4,2,8.59,7548.9,247.3,134.5,77.1
Sulawesi Selatan,Bone,2022,Cabai Rawit,5.72,1,2,2,9.94,10405.8,233.9,133.5,88.8
Sumatera Barat,Pesisir Selatan,2019,Bawang Merah,5.16,3,2,1,2.48,9716.4,202.0,114.1,77.4
Sulawesi Selatan,Parepare,2022,Padi,5.91,5,1,2,32.49,7323.3,240.3,106.0,68.2
Kalimantan Utara,Nunukan,2020,Cabai Rawit,4.84,3,4,3,4.12,8791.1,251.7,105.8,69.7
Jawa Timur,Bondowoso,2021,Tebu,5.54,2,3,3,48.58,74983.0,245.5,114.7,78.6
Sulawesi Barat,Polewali Mandar,2018,Cabai Rawit,5.46,3,3,3,7.81,6731.8,295.3,145.3,81.4
Jambi,Sarolangun,2020,Tebu,5.54,1,2,3,15.33,95767.0,236.8,107.4,84.8
Sulawesi Tenggara,Kolaka,2021,Tebu,5.65,3,2,5,86.37,90754.1,237.3,133.7,69.5
Papua Tengah,Nabire,2018,Cabai Rawit,4.82,3,4,3,2.17,6426.1,266.4,103.3,66.4
Kalimantan Selatan,Banjarbaru,2023,Padi,4.2,2,1,3,14.24,5889.6,223.0,122.6,87.2
Sulawesi Selatan,Makassar,2022,Tebu,5.52,4,4,4,150.0,70438.4,239.6,104.4,97.6
Kalimantan Utara,Malinau,2019,Jagung,4.97,2,2,3,51.96,5244.1,244.4,118.8,79.9
Jawa Barat,Garut,2020,Jagung,5.96,2,2,4,14.03,4874.8,253.3,130.5,74.7
Sulawesi Tengah,Poso,2019,Cabai Rawit,5.89,3,1,3,3.88,11888.3,252.6,103.3,81.4
Jambi,Tebo,2020,Jagung,6.51,2,2,3,30.09,7584.7,252.6,127.9,61.2
Kalimantan Selatan,Barito Kuala,2025,Bawang Merah,4.69,3,2,3,3.16,13032.9,235.7,129.2,102.6
Sulawesi Barat,Mamasa,2021,Jagung,5.44,2,4,2,39.71,7505.8,255.9,87.8,73.7
Bali,Denpasar,2019,Cabai Rawit,5.2,3,2,2,4.01,6365.9,256.3,127.0,88.5
Kepulauan Riau,Tanjung Pinang,2018,Jagung,5.75,3,4,2,11.72,4437.8,286.2,122.8,79.5
Bali,Buleleng,2024,Jagung,5.75,3,4,1,20.65,7704.8,173.2,122.2,76.4
Bali,Gianyar,2022,Cabai Rawit,5.27,3,3,1,8.08,11463.1,237.2,103.7,83.2
Riau,Kampar,2018,Cabai Rawit,5.18,3,3,3,3.11,6878.9,272.7,135.3,70.7
Sulawesi Selatan,Bantaeng,2023,Jagung,4.64,4,2,3,6.12,8764.2,250.2,93.3,91.9
Jawa Timur,Bondowoso,2022,Tebu,6.33,2,2,3,150.0,52526.7,282.5,130.3,52.5
Maluku,Seram Bagian Timur,2018,Tebu,5.19,2,3,3,7.61,54008.7,242.4,138.1,77.2
Papua Tengah,Deiyai,2025,Bawang Merah,5.9,3,2,2,3.68,11824.3,223.2,122.6,67.9
Maluku Utara,Halmahera Tengah,2019,Padi,4.2,1,3,3,17.31,4773.5,245.3,111.6,88.8
Riau,Kampar,2025,Padi,4.41,4,3,4,31.51,6572.5,237.1,114.9,87.3
Papua Tengah,Nabire,2022,Padi,5.14,4,3,3,28.27,4462.7,246.2,124.5,82.5
Sulawesi Selatan,Wajo,2020,Bawang Merah,4.72,2,2,3,1.8,7259.8,230.3,119.8,69.1
Nusa Tenggara Timur,Ende,2021,Bawang Merah,6.46,2,4,2,4.65,9488.2,265.6,153.6,61.6
Aceh,Pidie,2022,Tebu,5.63,2,3,2,68.58,59824.51725709211,248.4,116.2,57.8
Sumatera Barat,Solok,2022,Tebu,4.91,2,3,4,26.31,86439.2,221.7,127.7,78.5
Riau,Rokan Hilir,2019,Padi,6.19,5,2,2,17.76,4380.4,246.4,92.3,84.6
